time,ni_in,fe_in,cao_in,al2o3_in,s_m,bc,mc_kilnfeed,fc_coal,gcv_coal,current_pry,current_sec1,current_sec2,current_sec3,load,power_factor,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_coal,total_fuel,a_f_ratio,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2024-10-03 06:00:00,1.7,17.83,0.76,2.58,2.370732,0.435773,21.570000000000004,42.98052061697999,6341.962220517865,22.47,19.100000000000005,20.000000000000004,21.200000000000003,39.1,-1.0,39.1,0.77949,44.800000000000004,90.23,70.76738899999998,315.6000000000001,101.59999999999998,82.8,388.00000000000006,3600.000000000001,3600.000000000001,7.846667000000001,1.694,983.529663,755.015869,1560.0,14.250000000000002,1.3300000000000003,1.2500000000000002,82.60100000000001,0.5690000000000001,0.05,7.79,705.801086,-2.925808,-6.3527471044072525e-21
2024-10-03 09:00:00,1.75,19.09,0.9,2.94,2.467524,0.422019,24.490000000000002,42.97140363819017,6339.140240237349,22.47,21.300000000000004,21.600000000000005,21.600000000000005,36.03,-0.9999999999999999,36.03,0.775575,41.20000000000001,87.38,65.98063800000001,386.4,104.19999999999999,92.1,461.80000000000007,3400.0000000000005,3400.0000000000005,9.774706000000002,0.0,908.496277,735.332031,1560.0,14.250000000000002,1.3300000000000003,1.2500000000000002,82.60100000000001,0.569,0.05,7.280000000000001,712.010315,-3.799765,-8.602678370551488e-23
2024-10-03 10:00:00,1.75,19.09,0.9,2.94,2.467524,0.422019,24.490000000000002,42.96836566385748,6338.199895430458,22.470000000000002,16.9,23.0,19.4,38.41,-1.0,38.41,0.865215,42.60000000000001,90.31000000000002,68.193081,402.1,234.2,96.00000000000001,550.2000000000002,3500.0,3500.0,11.077714000000002,1.814,910.65387,757.371094,1560.0,14.250000000000002,1.33,1.25,82.60100000000001,0.5690000000000001,0.05000000000000001,7.28,695.409729,-2.952216,2.0679515313825692e-23
2024-10-03 12:00:00,1.75,19.09,0.9,2.94,2.467524,0.422019,24.49,42.96229131124695,6336.319699843845,22.47,20.9,22.900000000000002,22.6,36.3,-0.99,35.937,0.865485,48.800000000000004,101.29000000000002,76.48407900000001,514.3000000000001,231.7,107.20000000000002,550.3,3900.000000000001,3900.000000000001,10.115385000000002,1.795,913.096008,725.618164,1559.9999999999998,14.36,1.3300000000000003,1.2800000000000002,82.45700000000001,0.573,0.05,7.279999999999999,682.576172,-1.947969,1.3234889800848443e-23
2024-10-03 13:00:00,1.75,19.09,0.9,2.94,2.467524,0.422019,23.030000000000005,42.95925495568873,6335.379856096538,21.97,21.200000000000003,20.200000000000003,21.6,30.82,-1.0,30.82,0.840915,50.5,100.95000000000002,77.701215,634.4,236.10000000000002,118.70000000000002,553.2,4400.000000000001,4400.000000000001,9.162273000000003,1.796,964.28717,741.905273,1560.0,14.36,1.3300000000000003,1.28,82.45700000000001,0.573,0.05000000000000001,7.279999999999999,669.400146,-2.497987,-5.293955920339377e-23
2024-10-03 14:00:00,1.72,18.41,0.92,3.02,2.482781,0.419654,23.03,42.95621916244164,6334.440186401508,21.970000000000002,20.1,22.000000000000004,22.0,34.16,-1.0,34.16,0.848475,49.2,101.14000000000001,77.847458,621.9000000000001,149.8,118.60000000000001,460.20000000000005,4600.0,4600.0,7.549565000000001,1.906,1012.455566,784.305481,1560.0,14.36,1.3300000000000003,1.2800000000000002,82.457,0.5730000000000001,0.05,7.280000000000002,679.635986,-2.72746,2.117582368135751e-22
2024-10-03 15:00:00,1.72,18.41,0.92,3.02,2.482781,0.419654,23.030000000000005,42.953183942865486,6333.500694274961,22.470000000000002,19.400000000000002,22.800000000000004,22.300000000000008,38.52,-0.9999999999999999,38.52,0.9288,43.0,106.15000000000002,81.70365500000001,483.90000000000003,144.5,104.5,433.70000000000005,4500.000000000001,4500.000000000001,7.176000000000001,2.127,979.923096,728.448914,1560.0000000000002,14.36,1.3300000000000003,1.28,82.457,0.5730000000000001,0.05000000000000001,7.280000000000001,673.379761,-1.851908,0.0
2024-10-03 19:00:00,1.68,17.24,0.77,2.72,2.632735,0.393733,24.63,42.94104902846681,6329.744571777766,22.470000000000002,20.5,18.9,22.8,36.97,-1.0,36.97,0.866025,41.000000000000014,82.81,62.41389699999999,303.9,103.30000000000001,82.1,381.70000000000005,3400.0000000000005,3400.0000000000005,8.184706000000002,1.792,926.188293,752.552124,1560.0,14.360000000000001,1.3300000000000003,1.2800000000000002,82.45700000000001,0.5730000000000001,0.05,7.28,666.274292,-3.455531,0.0
2024-10-03 20:00:00,1.68,17.24,0.77,2.72,2.632735,0.393733,24.63,42.93801684764271,6328.806020236752,22.470000000000002,20.9,23.400000000000002,23.600000000000005,40.04,-1.0,40.04,0.989955,34.8,106.25000000000001,80.080625,352.3,129.5,88.20000000000002,425.8,3700.0000000000005,3700.0000000000005,8.335135000000001,1.748,939.404602,753.626221,1560.0,14.360000000000001,1.3300000000000003,1.2800000000000002,82.457,0.573,0.05000000000000001,7.280000000000001,722.922913,-2.12486,4.336808689942018e-19
2024-10-03 22:00:00,1.59,16.98,1.11,2.91,2.424487,0.432783,22.960000000000004,42.93195442284396,6326.929516668124,22.470000000000002,23.5,24.200000000000003,22.000000000000004,37.23,-1.0,37.23,1.029375,39.7,110.79000000000002,85.352616,458.00000000000006,152.20000000000002,101.6,471.40000000000003,4400.000000000001,4400.000000000001,7.813636000000001,1.924,988.795349,802.230896,1560.0,14.36,1.33,1.2800000000000002,82.45700000000001,0.573,0.05,7.279999999999999,689.225586,-2.57502,0.0
